Station Lat Latmin Lon Lonmin depth activity
P1 48 34.5 125 30.0 120 CTD
P2 48 36.0 126 00.0 114 Rosette/Bongo
P3 48 37.5 126 20.0 750 CTD
P4 48 39.0 126 40.0 1300 Rosette/Bongo
P5 48 41.5 127 10.0 2100 CTD
P6 48 44.6 127 40.0 2500 CTD
P7 48 46.6 128 10.0 2450 CTD
P8 48 49.0 128 40.0 2440 Rosette/Bongo
P9 48 51.4 129 10.0 2340 CTD
P10 48 53.6 129 40.0 2660 CTD
P11 48 56.0 130 10.0 2700 CTD
P12 48 58.2 130 40.0 3300 Rosette/Bongo
P13 49 02.6 131 40.0 2875 CTD
P14 49 07.4 132 40.0 3275 CTD
P15 49 12.0 133 40.0 3200 CTD
P16 49 17.0 134 40.0 3550 Rosette/Bongo
P17 49 21.0 135 40.0 3200 CTD
P18 49 26.0 136 40.0 3775 CTD
P19 49 30.0 137 40.0 3850 CTD
P20 49 34.0 138 40.0 3890 Rosette/Bongo
P21 49 38.0 139 40.0 3840 CTD
P22 49 42.0 140 40.0 3880 CTD
P23 49 46.0 141 40.0 3970 CTD
P24 49 50.2 142 40.0 3910 CTD
P25 50 00.0 143 36.3 3890 CTD
P35 50 00.00 144 18.11 4000 CTD
P26 50 00.0 145 00.0 4300 Rosette/Bongo/Moorin
JMK 53 51.0 149 27.5 4300 MVP
Hideout 52 31.69 148 53.5 4000 CTD
CS03 50.7715 0.0 129.3258 0 500 CTD
